x,y,z,r,g,b
-0.007863677,-0.02525997,0.50202084,100.0,147.0,238.0
-0.007863677,-0.022711815,0.50202084,102.0,139.0,239.0
-0.007863677,-0.02016366,0.50202084,95.0,136.0,224.0
-0.007863677,-0.017615506,0.50202084,97.0,124.0,223.0
-0.007851572,-0.015044157,0.501248,97.0,118.0,172.0
-0.007851572,-0.012499926,0.501248,103.0,128.0,212.0
-0.007839504,-0.0023194284,0.5004776,98.0,141.0,230.0
-0.007851572,0.01039816,0.501248,112.0,125.0,218.0
-0.007851572,0.012942391,0.501248,111.0,121.0,220.0
-0.005329133,-0.05328967,0.50202084,192.0,143.0,149.0
-0.005329133,-0.050741516,0.50202084,174.0,128.0,149.0
-0.0053373612,-0.048267774,0.502796,164.0,118.0,129.0
-0.005345616,-0.04578639,0.5035736,165.0,126.0,135.0
-0.005345616,-0.04323035,0.5035736,169.0,112.0,136.0
-0.005353896,-0.040737316,0.5043536,121.0,107.0,128.0
-0.0053622015,-0.038236547,0.505136,120.0,105.0,147.0
-0.0053622015,-0.035672583,0.505136,115.0,123.0,160.0
-0.005345616,-0.033006206,0.5035736,110.0,125.0,169.0
-0.0053373612,-0.030403152,0.502796,106.0,135.0,172.0
-0.005345616,-0.027894136,0.5035736,102.0,145.0,231.0
-0.005345616,-0.0253381,0.5035736,100.0,145.0,247.0
-0.005345616,-0.022782063,0.5035736,100.0,145.0,239.0
-0.0053373612,-0.020194795,0.502796,95.0,136.0,227.0
-0.0053373612,-0.017642707,0.502796,90.0,112.0,182.0
-0.005329133,-0.015067353,0.50202084,101.0,120.0,195.0
-0.005329133,-0.0125191985,0.50202084,108.0,124.0,193.0
-0.005312751,-0.0074000712,0.5004776,120.0,108.0,151.0
-0.005312751,-0.0048597497,0.5004776,114.0,103.0,127.0
-0.005320929,-0.0023229986,0.501248,116.0,105.0,138.0
-0.005312751,2.2089301E-4,0.5004776,111.0,114.0,167.0
